no,code,name,industry_code,industry,shares,capital_stock,par_value
518,7310,OTTOGI,31007,Manufacture of Other Food Products,4007830,20039150000,5000
2348,7330,PUREUN S.BK.,116401,Banking and Savings Institutions,15082800,15082800000,1000
21,7340,DN AUTOMOTIVE,32802,Manufacture of Primary Cells and Batteries and Accumulators,9994005,4997002500,500
2125,7370,JINYANGPHARM,32102,Manufacture of Medicaments,12000000,6000000000,500
1035,7390,NATURECELL,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,64157156,32078578000,500
497,7460,Aprogen,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,259837258,129918629000,500
1847,7530,YM,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,19174452,9587226000,500
401,7540,SEMPIO,116409,Other Financial Intermediation,2875800,2875800000,1000
580,7570,ILYANG PHARM,32102,Manufacture of Medicaments,19085664,48826860000,2500
254,7590,DONGBANG AGRO,32003,Manufacture of Fertilizers Pesticides Germicides and Insecticides,13617577,6808788500,500
409,7610,SEONDO ELEC,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,18000000,9000000000,500
557,7660,ISUPETASYS,32602,Manufacture of Electronic Components,63246419,63246419000,1000
1091,7680,DAEWON,64101,Building Construction,13446474,6723237000,500
166,7690,KUKDO CHEM,32001,Manufacture of Basic Chemicals,9010616,45053080000,5000
28,7700,F&amp;F Holdings,116409,Other Financial Intermediation,39114367,19557183500,500
1074,7720,DAEMYUNG SONOSEASON,74608,Wholesale of Non-Specialized Goods,100800450,50400225000,500
2459,7770,HANILCHEMIC,32001,Manufacture of Basic Chemicals,3510000,1755000000,500
644,7810,KOR CIRC,32602,Manufacture of Electronic Components,23620751,13684570000,500
1678,7820,SMC,32901,Manufacture of General Purpose Machinery,20033946,10016973000,500
403,7860,SEOYON,116409,Other Financial Intermediation,23479844,11739922000,500
674,7980,PAN-PACIFIC,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,49447753,25604954000,500
354,8040,SAJODONGAONE,31006,Manufacture of Grain Mill Products Starches and Starch Products,141144600,70572300000,500
206,8060,DAEDUCK,116409,Other Financial Intermediation,33890150,17551253500,500
209,8110,DAIDONG ELECTRONICS,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,10490447,5245223500,500
551,8250,EAGON IND,31602,Manufacture of Wood Products,10952635,54763175000,5000
99,8260,NI STEEL,32401,Manufacture of Basic Iron and Steel,28600117,14300058500,500
1889,8290,WPMulsan,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,40693679,20346839500,500
186,8350,NAMSUN ALUM,32402,Manufacture of Basic Precious and Non-ferrous Metals,129079090,64693490000,500
1888,8370,Wonpoong,32202,Manufacture of Plastic Products,12000000,6000000000,500
321,8420,MOONBAE STL,32401,Manufacture of Basic Iron and Steel,20503505,10251752500,500
1323,8470,BOOSTER,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,8404800,4202400000,500
408,8490,SUHEUNG,32004,Manufacture of Other Chemical Products,11569113,6084556500,500
581,8500,ILJEONG IND,31303,Manufacture of Knitted and Crocheted Fabric,1200000,6000000000,5000
534,8600,WILLBES,74604,Wholesale of Household Goods,67236039,72882179000,1000
467,8700,ANAM ELEC,32605,Manufacture of Electronic Video and Audio Equipment,77124820,38562410000,500
550,8730,YOULCHON CHEM,32202,Manufacture of Plastic Products,24800000,14776380000,500
814,8770,HTL SHILLA,74708,Retail Sale in Other Specialized Stores,39248121,200000000000,5000
1070,8830,DaedongGear,32902,Manufacture of Special-Purpose Machinery,8987520,4493760000,500
173,8870,KUMBI,32301,Manufacture of Glass and Glass Products,1000000,5000000000,5000
742,8930,Hanmi Science,116409,Other Financial Intermediation,69956940,34978470000,500
266,8970,DONGYANG STL PIPE,32401,Manufacture of Basic Iron and Steel,118885290,59442645000,500
636,9070,KCTC,84903,Road Freight Transport,30000000,15000000000,500
154,9140,KYUNGIN ELEC,32602,Manufacture of Electronic Components,1570797,7853985000,5000
367,9150,SAMSUNG ELEC MECH,32602,Manufacture of Electronic Components,74693696,388003400000,5000
111,9160,SIMPAC,32401,Manufacture of Basic Iron and Steel,65429516,32714758000,500
750,9180,Hansol Logistics,85209,Other Services Allied to Transport Agency,27655025,14429741000,500
218,9190,DAIYANG MTL,32401,Manufacture of Basic Iron and Steel,37697115,18848557500,500
319,9200,MOORIM PAPER,31701,Manufacture of Pulp Paper and Paperboard,41609310,104023275000,2500
744,9240,HANSSEM,74604,Wholesale of Household Goods,23533928,23533928000,1000
452,9270,SHINWON,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,102586356,51293178000,500
160,9290,KWANGDONG PHARM,32102,Manufacture of Medicaments,52420851,52420851000,1000
1380,9300,Sam-A Pharm.,32102,Manufacture of Medicaments,6370000,6370000000,1000
622,9310,Charm Engineering,32902,Manufacture of Special-Purpose Machinery,58867419,29858708000,500
221,9320,DWECC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),49299770,24649885000,500
672,9410,TAEYOUNG E&amp;C,64102,Heavy Construction,38899098,20100620000,500
761,9420,HANALL BIOPHARMA,32102,Manufacture of Medicaments,52240638,26120319000,500
59,9440,KC Green Holdings,116409,Other Financial Intermediation,22434980,11217490000,500
148,9450,KYUNG DONG NAVIEN,32805,Manufacture of Domestic Appliances,14568592,14568592000,1000
774,9460,HANCHANG PAPER,31701,Manufacture of Pulp Paper and Paperboard,59667486,29833743000,500
394,9470,SAMWHA ELEC,32602,Manufacture of Electronic Components,6613820,6613820000,1000
2337,9520,POSCO M-TECH,32401,Manufacture of Basic Iron and Steel,41642703,20821351500,500
38,9540,HDKSOE,116409,Other Financial Intermediation,70773116,353865580000,5000
318,9580,Moorim P&amp;P,31701,Manufacture of Pulp Paper and Paperboard,62368324,155920810000,2500
1373,9620,SAMBO IND,32402,Manufacture of Basic Precious and Non-ferrous Metals,45255561,4525556100,100
317,9680,MOTONIC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),33000000,16500000000,500
2199,9730,KOSSEN,32401,Manufacture of Basic Iron and Steel,30510359,15255179500,500
389,9770,SAMJUNGPULP,31701,Manufacture of Pulp Paper and Paperboard,2499971,12499855000,5000
1788,9780,MSC,31007,Manufacture of Other Food Products,17600000,8800000000,500
700,9810,Playgram,74607,Other Specialized Wholesale,126750187,12675018700,100
781,9830,HANWHA SOLUTIONS,32001,Manufacture of Basic Chemicals,171892536,888568910000,5000
313,9900,MS IND,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),52470133,26235066500,500
511,9970,Youngone Holdings,116409,Other Financial Intermediation,13635592,6817796000,500
713,10040,KRC,32302,Manufacture of Refractory and Non-refractory Ceramic Products,41067062,20533531000,500
101,10060,OCI Holdings,32001,Manufacture of Basic Chemicals,16412642,90063210000,5000
715,10100,KOREA MOVENEX,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),30450420,30450420000,1000
507,10120,LS ELECTRIC,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,30000000,150000000000,5000
158,10130,KOR ZINC,32402,Manufacture of Basic Precious and Non-ferrous Metals,19863158,99315790000,5000
370,10140,SAMSUNG HVY IND,33101,Building of Ships and Boats,880000000,880000000000,1000
1102,10170,TaihanFiberoptics,32803,Manufacture of Electric Lamps and Bulbs,74511166,37255583000,500
2508,10240,HEUNGKUK,32902,Manufacture of Special-Purpose Machinery,12322696,6161348000,500
1540,10280,SICC,106201,Computer programming System Integration and Management Services,65123786,32561893000,500
528,10400,WOOJIN I&amp;S,64202,Building Installation,7622000,3811000000,500
754,10420,HANSOL PNS,74607,Other Specialized Wholesale,20493012,10246506000,500
1813,10470,ORICOM,137103,Advertising,11975050,11975050000,1000
487,10580,SM BEXEL,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),111251760,55625880000,500
533,10600,WELLBIOTEC,74601,Wholesale on a Fee or Contract Basis,90923407,45461703500,500
795,10620,HYUNDAI MIPO DOCK,33101,Building of Ships and Boats,39942149,199710745000,5000
616,10640,CHINYANGPOLYURETHANE,32202,Manufacture of Plastic Products,10000000,5000000000,500
822,10660,HWACHEON,32902,Manufacture of Special-Purpose Machinery,22000000,11000000000,500
820,10690,HWASHIN,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),34920410,17460205000,500
692,10770,PHHC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),14625466,7312733000,500
477,10780,IS DONGSEO,32303,Manufacture of Cement Lime and Plaster and Its Products,30892606,15446303000,500
688,10820,FIRSTEC CO.LTD.,32502,Manufacture of Weapons and Ammunition,48771938,24385969000,500
104,10950,S-Oil,31902,Manufacture of Refined Petroleum Products,112582792,291511797500,2500
392,10960,SDC,64201,Site Preparation and Special Trade Construction for Civil Engineering and Buildings,25000000,12500000000,500
620,11000,GENEONE,32102,Manufacture of Medicaments,78473817,78473817000,1000
961,11040,KDPharm,32102,Manufacture of Medicaments,30768766,15684383000,500
80,11070,LG INNOTEK,32602,Manufacture of Electronic Components,23667107,118335535000,5000
2484,11080,HYUNGJI I&amp;C,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,25503363,12751681500,500
483,11090,ENEX,33201,Manufacture of Furniture,59991641,29995820500,500
10,11150,CJ SEAFOOD,31007,Manufacture of Other Food Products,35930773,18065386500,500
303,11170,LOTTE CHEMICAL Corp,32001,Manufacture of Basic Chemicals,42775419,213877095000,5000
50,11200,HMM,85001,Sea and Coastal Water Transport,489039496,2445197480000,5000
801,11210,HYUNDAI WIA,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),27195083,135975415000,5000
395,11230,SAMWHA ELEC,32605,Manufacture of Electronic Video and Audio Equipment,12102700,12102700000,1000
670,11280,Tailim Pkg,31702,Manufacture of Corrugated Cardboard Paper Boxes and Paper Containers,70805940,35402970000,500
414,11300,SEONGAN,31302,Weaving of Textiles and Manufacture of Textile Products,67351047,33675523500,500
1922,11320,UNICK,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),19320695,9660347500,500
540,11330,UNICHEM,31501,Manufacture of Luggage Footwear and Similar Products,96214138,48537720000,500
1426,11370,Seohan,64101,Building Construction,100894865,50447432500,500
346,11390,BUSAN IND,32303,Manufacture of Cement Lime and Plaster and Its Products,1056000,5280000000,5000
146,11420,GALAXIA SM,189101,Sports Services,27549644,13774822000,500
738,11500,HANNONG,32004,Manufacture of Other Chemical Products,15637042,7818521000,500
1446,11560,SEBO MEC,64202,Building Installation,10530000,5265000000,500
522,11690,Y2 Solution,32601,Manufacture of Semiconductor,36574394,91435985000,2500
758,11700,HANSHIN MACH,32901,Manufacture of General Purpose Machinery,32446151,16223075500,500
806,11760,HYUNDAI CORP,74608,Wholesale of Non-Specialized Goods,13228966,66144830000,5000
176,11780,KUMHO PETRO CHEM,32001,Manufacture of Basic Chemicals,29314312,167455885000,5000
113,11790,SKC,32004,Manufacture of Other Chemical Products,37868298,189341490000,5000
134,11810,STX,74608,Wholesale of Non-Specialized Goods,23657927,59144817500,2500
442,11930,SHINSUNG E&amp;G,32601,Manufacture of Semiconductor,205848151,103034075500,500
13,12030,DB,106201,Computer programming System Integration and Management Services,201173933,100586966500,500
516,12160,YOUNGWIRE,32401,Manufacture of Basic Iron and Steel,101310372,50655186000,500
473,12170,Ascendio,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,86730626,43365313000,500
156,12200,KEYANG ELEC MACH,32901,Manufacture of General Purpose Machinery,27222829,14195954000,500
2556,12210,SMP,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,31599885,15799942500,500
515,12280,YEONGHWA MTL,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),53394505,27569082500,500
150,12320,KYUNGDONG INVEST,116409,Other Financial Intermediation,2365023,11825115000,5000
794,12330,HYUNDAI MOBIS,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),94285094,490969315000,5000
1058,12340,NUINTEK,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),50907162,25453581000,500
783,12450,HANWHA AEROSPACE,33103,Manufacture of Aircraft Spacecraft and its Parts,50630000,265650000000,5000
244,12510,DOUZONE BIZON,106201,Computer programming System Integration and Management Services,30382784,15191392000,500
624,12600,CHUNGHO ICT,32901,Manufacture of General Purpose Machinery,30150999,15075499500,500
153,12610,KYUNG-IN SYNTH,32001,Manufacture of Basic Chemicals,41616365,20808182500,500
1884,12620,Wonil,32401,Manufacture of Basic Iron and Steel,4400000,2200000000,500
34,12630,HDC HOLDINGS,116409,Other Financial Intermediation,59741721,298708605000,5000
314,12690,MONALISA,31709,Manufacture of Other Paper and Paperboard Products,36571255,18885627500,500
1218,12700,LEADCORP,74607,Other Specialized Wholesale,26446135,13777741000,500
488,12750,S-1,147503,Security Guard and Detective Services,37999178,18999589000,500
1524,12790,Shinil Pharm,32102,Manufacture of Medicaments,11986415,5993207500,500
230,12800,DAECHANG,32402,Manufacture of Basic Precious and Non-ferrous Metals,91140499,45570249500,500
1261,12860,MOBASE ELECTRONICS,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),73233457,36616728500,500
424,13000,SEWOO GLOBAL,74607,Other Specialized Wholesale,28705031,14352515500,500
2412,13030,HY-LOKCO,32401,Manufacture of Basic Iron and Steel,12856050,6806616000,500
1137,13120,Dongwon,64101,Building Construction,90808100,45404050000,500
1616,13310,A-JIN INDUSTRY,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),38806582,19403291000,500
576,13360,ILSUNG CONST,64102,Heavy Construction,54024880,27012440000,500
819,13520,HS Corp,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),50051252,25025626000,500
289,13570,DY,116409,Other Financial Intermediation,26319633,13159816500,500
155,13580,KYE-RYONG CONST,64102,Heavy Construction,8930907,44654535000,5000
183,13700,CAMUS E&amp;C,64101,Building Construction,45152280,22576140000,500
844,13720,CBI,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),30416158,30416158000,1000
1500,13810,Speco,32902,Manufacture of Special-Purpose Machinery,14655470,7327735000,500
612,13870,GMB Korea,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),19072280,9536140000,500
611,13890,ZINUS,33201,Manufacture of Furniture,18900676,9450338000,500
1565,13990,AGABANG&amp;CO,74604,Wholesale of Household Goods,32887536,16443768000,500
1243,14100,MED,32004,Manufacture of Other Chemical Products,11800000,5900000000,500
762,14130,HAN EXPRESS,84903,Road Freight Transport,12000000,6000000000,500
219,14160,DAEYOUNG PKG,31702,Manufacture of Corrugated Cardboard Paper Boxes and Paper Containers,108394549,54197274500,500
1881,14190,WONIK CUBE Corp.,74607,Other Specialized Wholesale,35399906,17699953000,500
973,14200,KANGLIM,33001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,90706696,45353348000,500
172,14280,KUMKANG KIND,32401,Manufacture of Basic Iron and Steel,29329357,29919232000,1000
509,14440,YOUNGBO CHEM,32202,Manufacture of Plastic Products,20000000,10000000000,500
1322,14470,Bubang,126801,Real Estate Activities with Own or Leased Property,60052260,30026130000,500
171,14530,KUKDONG OIL &amp; CHEM,31902,Manufacture of Refined Petroleum Products,34869420,17434710000,500
965,14570,KOREAN DRUG,32102,Manufacture of Medicaments,11000000,5500000000,500
